,/records/record/#id,/records/record/abstract/style,/records/record/auth-address/style,/records/record/contributors/authors/author/style,/records/record/dates/year/style,/records/record/keywords/keyword/style,/records/record/periodical/full-title/style,/records/record/titles/title/style
146,147,"In recent years, land use conflicts between large-scale mining sector and local communities have increased in the global south. However, with proper planning, it is possible that both companies and local communities can co-exist in the landscape. Thus, this paper explores land use conflicts in an emerging mining region as a function of: (i) anticipated displacement and (ii) improper understanding of affected communities. Fieldwork and in-depth study was conducted at Ghana's emerging North-west gold province. Participatory mapping, and focus group discussions were used in this study. The study found1 © 2016 Elsevier Ltd","Department of Spatial Sciences―Western Australian School of Mines (WASM), Curtin University of Technology, GPO Box U 1987, Perth, Western Australia, Australia",,2017,Mining,Resources Policy,Strategies for managing large-scale mining sector land use conflicts in the global south
161,162,"Community integration research explores community contexts and factors that encourage or hinder individuals with serious mental illness (SMI) from actively participating in community life. This research agenda can be advanced by using mixed-methods that better document the relationships between contextual factors and individual experience. Two such methods were applied to a mixed-methods study of 40 adults with SMI living in independent housing in the Southeastern United States. Their contextualized experiences of community integration were measured by applying innovative participatory mapping and Geographic Information Systems (GIS) mapping techniques. Use of these methods in conjunction with one another facilitated the creation of activity spaces, which can measure geographic accessibility and help to represent an individual's experience of place and degree of mobility. The utility of these newly applied methods for better understanding community integration for persons with SMI is explored and implications for using these measures in research and practice are discussed. © 2008 Elsevier Ltd. All rights reserved.","Department of Psychology, University of South Carolina, 224 Barnwell College, 1512 Pendleton Street, Columbia, SC 29208, United States","Townley, G.",2009,,Health and Place,Understanding the experience of place: Expanding methods to conceptualize and measure community integration of persons with serious mental illness
99,100,"The comprehension of how fishing effort is distributed spatially and through time is essential for the success of Marine Protected Areas (MPAs). In order to achieve this, participatory mapping has been used as a method to obtain spatial data from artisanal fishermen, promoting more participatory decision-making processes. In the region of Pemibe, there are a range of management instruments that regulates the spatial distribution and establish fishing closure areas for this activity. In order to understand how the gill net artisanal fisheries, affect the existing closure areas in this region, interviews with local fishermen were conducted, on which participatory mapping exercises were performed. Therefore, it was possible to estimate the spatial distribution of the gill net fisheries in this region. There were points where densification of fishermen was identified and it was found that these points were located nearby the MPAs, therefore creating areas of incongruities between the conservation objectives established by the MPAs and the fishing activity. Thus, a better understanding of the reasons why the fishermen choose certain areas for fishing, as well as how they will behave in case of closure of existing fishing areas are necessary to achieve an effective management for the MPAs.",,"de Souza, V. A.",2018,,Desenvolvimento E Meio Ambiente,& nbsp;Participatory Mapping as a Tool for Gill Net Fisheries Management in the South-Central Coast of Sao Paulo State
60,61,"Myanmar offers unique opportunities for both biodiversity conservation and foreign direct investment due to projected economic growth linked to natural resource exploitation. Industrial-scale development introduces new land uses into the landscape, with unknown repercussions for local communities and biodiversity conservation. We use participatory mapping of 31 communities, focus groups in 28 communities, and analyses of forest cover change during 2000-2010 using MODIS vegetation continuous fields images, to understand the social and environmental impacts of gold mining and agricultural concessions in Myanmar's Hukaung Valley (∼21,800 km2). Local communities, particularly the poorest households, benefit from work and trade opportunities offered by gold mining and agricultural companies but continue to depend on forests for house construction materials, food, and income from the sale of forest resources. However, gold mining and agricultural concessions reduce tree cover, potentially reducing access to forest resources and further marginalizing these households. Our analyses do not provide evidence that long-term resident communities contributed to forest cover loss between 2000 and 2010. We argue that landscape management, which recognizes local community rights to customary community use areas, and appropriate zoning for commercial land uses and protected areas could contribute to both local livelihoods and protect biodiversity throughout Myanmar during economic growth. © The Author(s) 2017.","School of Biological Sciences, Royal Holloway University of London, United Kingdom
 Department of Biological Sciences, National University of Singapore, Singapore, Singapore
 Wildlife Conservation Society Singapore, Singapore, Singapore
 Wildlife Conservation Society Myanmar, Yangon, Myanmar","Papworth, S.",2017,,Scientific Reports,The impact of gold mining and agricultural concessions on the tree cover and local communities in northern Myanmar
23,24,"This paper explores how communities in Chinhoyi, Zimbabwe have used community-led mapping and enumerations(1) to build partnerships with local government to support the development and co-production of innovative pro-poor city-wide sanitation strategies as part of the SHARE City-Wide Sanitation Project. This action research project is being conducted in four cities across sub-Saharan Africa: Chinhoyi (Zimbabwe), Kitwe (Zambia), Blantyre (Malawi) and Dar es Salaam (Tanzania). This programme of work responds to the failure of conventional approaches to urban sanitation to meet the needs of low-income urban communities in sub-Saharan Africa. Over three years it has supported Shack/Slum Dwellers International affiliates to develop and test pro-poor sanitation strategies that can be adopted and driven by networks of community organizations and residents’ associations, and supported by public authorities and private providers. © 2015 International Institute for Environment and Development (IIED)","Zimbabwe Trust, United Kingdom
 13 Harvey Brown, Milton Park, Harare, Zimbabwe
 International Institute for Environment and Development, United Kingdom",,2015,Zimbabwe,Environment and Urbanization,"Co-producing inclusive city-wide sanitation strategies: lessons from Chinhoyi, Zimbabwe"
135,136,"The field of conflict resolution is in constant evolution. Every day, theories are defined and redefined, and new contributions are made to the field. This continuous process challenges scholars, researchers, and practitioners to develop new conceptual and methodological frameworks for the analysis of conflict. This article highlights the potential of social cartography (participatory mapping) as a tool for the transformation of environmental and social conflicts at the household, community, national, and international levels. The advantages of social cartography as an appraisal, planning, and analytical tool for conflict transformation are illustrated here with a case study of the Afro-Colombian community of Robles.","Department of Conflict Analysis and Resolution, NSU, Germany
 Found. for the Conserv. and Protect. of Nat. Rsrc. of South of Valle del Cauca Dept. (FUNECOROBLES), Spain","Bastidas, E. P.",2008,,Peace and Conflict Studies,Social cartography as a tool for conflict analysis and resolution: The experience of the Afro-Colombian community of Robles
88,89,"This article describes the participatory methods used for mapping the expectations and understandings of Kampala city and its shitscape. I defined the shitscape as the collective sanitary apparatus that the city's inhabitants utilise, and the relationships that mediate these infrastructures and practices. Analysis of Kampala's shitscape therefore encounters flush toilets and latrines, septic tanks and sewage pipes, and extends to plastic bags and bottles and the wastewater channels that are used to dispose of them. The analysis examines what assumptions are made about particular toileting performances and engages with knowledge(s) of the city and its sanitation infrastructures and practices. Interviews, observations and participatory mapping were conducted in numerous places throughout the city and I utilised the city's main drainage-channel-cum-river, the Nakivubo Channel, as a transect - observing, interviewing, and conducting participatory mapping with the city's inhabitants I met along the Nakivubo's course. Whilst the participatory mapping methods illustrate clear distinctions in the imagination of the city as un/sanitary, un/civilised and un/modern, the qualitative research contradicts this representation. This research suggests, then, that maps - whether archival or participatory - cannot and do not tell the whole story of a city. The ethnographic and in-depth qualitative research shows that different sanitary performances, such as using a flush toilet and using a plastic bag to shit in, are in fact bound by the same moralities of waste disposal and minimising smell. Flying toilets are not, then, a symbol of disgusting and uncivil behaviour, but rather as effective toileting solutions in highly restricted circumstances.",,"Brown, S. T.",2019,,Sociological Review,Maps cannot tell the whole story: Interpreting the shitscape with a mixed methods approach
67,68,"A proliferation of participatory spatial practices is emerging in cities, as citizens seek alternative forms of urban governance and land use. Characterised by peer-to-peer production and mediated through the use of digital technologies, these practices are part of a larger narrative about the commons, the ways in which citizens participate in them, and the ways in which knowledge is produced and shared. This case-study uses participatory mapping, group interviews and document analysis to explore how participants in two urban gardening projects make place, and probes whether their practices offer new understandings of community-led placemaking. Results emphasise the important role citizens play in creating, designing and maintaining the commons and demonstrate the ways in which individuals and community groups working outside of a professional urban design context expand placemaking into a vehicle for social change.",,"Frangos, M.",2017,,Design Journal,Infrastructuring Place. Citizen-led Placemaking and the Commons
100,101,"Tropical forests are under pressure from both commercial and smallholder agriculture. Forest frontiers are seeing dynamic land use changes that frequently lead to land system regime shifts, posing challenges for the sustainability of entire local social-ecological systems. Monitoring highly dynamic land use change and detecting land system regime shifts is methodologically challenging due to trade-offs between spatial and temporal data resolution. We propose an innovative approach that combines analysis of very-high-resolution satellite imagery with participatory mapping based on workshops and field walks. Applying it in Laos, Myanmar, and Madagascar, we were able to collect annual land use information over several decades. Unlike conventional land use change mapping approaches, which assess only few points in time, our approach provides information at a temporal resolution that enables detection of gradual and abrupt land system regime shifts. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Centre for Development and Environment, University of Bern, Bern, Switzerland
 Institute of Geography, University of Bern, Bern, Switzerland
 Faculty of Environmental Sciences, National University of Laos, Vientiane, Laos
 Centre for Development and Environment, Myanmar Country Office, Yangon, Myanmar",,2018,telecoupling,Journal of Land Use Science,"A novel participatory and remote-sensing-based approach to mapping annual land use change on forest frontiers in Laos, Myanmar, and Madagascar"
87,88,"In Colombia, armed conflict intersected with land politics in complex ways. Throughout conjunctures of guerrilla and paramilitary domination, the moral economies that sustained hierarchical land orders became a terrain of tensions and negotiations. Through an ethnographic approach to participatory mapping in the agrarian region of Montes de María in Colombia's Caribbean, this article analyzes the links between armed conflict, shifting land orders, and the moral economies that informed peasant politics. It exposes the incomplete and complex processes of space-making produced by armed conflict, as well as the ambivalent and shifting character of peasant political strategies in the context of violence. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","Department of History and Social Sciences, Universidad del Norte, Barranquilla, Colombia","Berman-Arévalo, E.",2019,,Journal of Peasant Studies,"Mapping violent land orders: armed conflict, moral economies, and the trajectories of land occupation and dispossession in the Colombian Caribbean*"
69,70,"Integrating scientific and local knowledge within disaster risk reduction (DRR) using methods that encourage knowledge exchange and two-way dialogue is a difficult yet important task. This article shows how participatory mapping can help in fostering integrative DRR through the involvement of a large range of stakeholders. It draws on a project conducted in the municipality of Masantol, Philippines that is regularly affected by flooding and other natural hazards. Participatory 3-Dimensional Mapping, or P3DM, has been used for both risk assessment and DRR planning. P3DM facilitates the interpretation, assimilation and understanding of geo-referenced data by making them visible and tangible to everyone. Given that maps are scaled and geo-referenced, P3DM also helps in incorporating both local and scientific knowledge through a two-way dialogue in DRR. © 2011 The Authors. Area © 2011 Royal Geographical Society (with the Institute of British Geographers).","UMR GRED, Université Paul Valéry. Montpellier III and IRD, France
 School of Environment, The University of Auckland, New Zealand","Cadag, J. R. D.",2012,,Area,Integrating knowledge and actions in disaster risk reduction: The contribution of participatory mapping
155,156,"This paper investigates the ecological, social and institutional dimensions of the synergies and trade-offs between seagrasses and human activities operating in the Natura 2000 protected site of San Simon Bay (Galicia, NW Spain). By means of a multidisciplinary approach that brings together the development of a biological inventory combined with participatory mapping processes we get key spatial and contextual understanding regarding how, where and why marine users interact with seagrasses and how seagrasses are considered in policy making. The results highlight the fisheries' reliance on seagrass meadows and the controversial links with shellfisheries. The study also reveals unresolved conflicts among those management plans that promote the protection of natural values and those responsible for the exploitation of marine resources. We conclude that the adoption of preplanning bottom-up participatory processes is crucial for the design of realistic strategies where both seagrasses and human activities were considered as a couple system. (C) 2015 Elsevier Ltd. All rights reserved.",,"Ventin, L. B.",2015,,Marine Pollution Bulletin,Towards adaptive management of the natural capital: Disentangling trade-offs among marine activities and seagrass meadows
126,127,"Framed by questions about “hydrocitizenship” in the 21st century, this co-produced, interdisciplinary arts and humanities-centred research explores the (re)weaving of local knowledges, experiences, perceptions, and values of water and place through the concept, process, and practice of “daylighting hidden rivers.” Located at the nexus of three theoretical frames – “participation,” “hydrocitizenship,” and “daylighting,” it engages reflexively with strong and weak “hydrocitizenship” and with paradigms of ‘daylighting.’ Working with diverse communities and organisations in South Bristol (UK), this eco-social research project discovered community concerns and needs, and positioned itself in relation to these in co-production. This involved older people, children, and professional stakeholders in a place-specific, “catchment” setting, using novel arts-led, creative, narrative mapping processes. We critically examined the value, opportunities, and tensions of this multi-method approach to people's past, present, and future connections and relationships with their local (water) environment, their senses of self and community. Our iterative processes of seeking out “lesser heard” voices were conceived and played out around a braided cascade of “openings”: emerging, connecting, enacting, imagining, and reflecting. Thinking critically about our oblique, emergent processes, we identify 15 “top tips” concerning the creative participatory daylighting of lay knowledges and values, and “river visioning.” These can inform co-working with communities to enable and empower citizen engagement with places and local water issues for resilient futures. Our findings contribute new understandings of “hydrocitizenship” and creative participatory “daylighting” in combination, when urban spaces are construed as “water cities,” cascading both water and narratives. Importantly, our co-production processes with lesser heard groups also exemplify “higher-order participation” in co-visioning resilient futures, with all the messiness, complexity, and conflicts exposed. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2020 The Authors. Transactions of the Institute of British Geographers published by John Wiley & Sons Ltd on behalf of Royal Geographical Society (with The Institute of British Geographers).","Centre for Water, Communities and Resilience, Department of Geography and Environmental Management, University of the West of England, Bristol, United Kingdom
 Socially engaged artist, Bristol, United Kingdom
 University of Dundee, Dundee, United Kingdom",,2020,participatory mapping,Transactions of the Institute of British Geographers,"Reweaving urban water-community relations: Creative, participatory river “daylighting” and local hydrocitizenship"
149,150,"The object of study of this research is based on the analysis carried out on the design, instrumentation and evaluation of tourist circuits based on a community-based proposal, based on the approach of rural tourism and sustainable local development. The methodological structure formulated and applied in this research includes participatory planning, application of structured interviews, direct observation in the field; the joint application of geographic information systems tools, multi-criteria analysis and participatory mapping. As a result, it is proposed that the most viable and sustainable way to take advantage of the resources of the municipal territory of Isidro Fabela from a local perspective is through the implementation of tourist circuits that promote the development of activities related to rural tourism. The evaluation of the circuits was made through the collaboration and knowledge of the inhabitants and local authorities, students and university academics, based on the preferences of the visitors, who determined that five of the eight touristic circuits designed are viable for their instrumentation.",,"Martinez, D. V.",2019,,Pasos-Revista De Turismo Y Patrimonio Cultural,Sustainable local development strategy in the Otomi-Mexica Natural Protected Area of the State of Mexico. Touristic circuits at the municipality of Isidro Fabela
90,91,"In the period of rapid urbanization of China at present, studies on the meaning space structure in rural villages will be helpful for understanding the complicated psychological bond between community members and residential settings, and conducive to mitigate social frictions and conflicts caused by non-economic factors in the village demolition and relocation process. In this research, data were collected by semi-structured interview and participatory mapping techniques, and 251 residents from 9 villages were investigated. Those villages would be removed and relocated for the registration of Han Chang'an City Historical Site as a UNESCO World Culture Heritage. Through qualitative analysis of the interviews, 12 place feature categories, 7 place meaning categories and 34 place meaning sub-categories were identified. Based on the above attribute analysis, cross-tabulation analysis was used to examine the association between place features and meanings, and GIS tool was used to reveal and visualize the residents' place perception spatial configuration. The findings show that village, culture relics, house and people are among the significant place features, and person-place fit, personal feelings, historical-cultural connection, values and accomplishments are the important meaning categories. As the carriers, place features symbolize place meanings in both collective and selective ways. Place features form a system together with associated meanings, by which the place is defined and distinguished from other places. In addition, there exists a spatial pattern of residents' perceptions, which is characterized by the perception hotspot areas around the villages and relics, carrying important place meanings of local people in the study area. Feeling connection, place fit and personal identity make sense for the explanation to the revealed meaning space structure. The extending suggestion of this study is that the preservation of typical place features for local people in some forms will be helpful for the removal communities preserving homeland attachment. © 2015, Science Press. All right reserved.","College of Tourism and Environment, Shaanxi Normal University, Xi'an, 710062, China",,2015,Rural community,Dili Xuebao/Acta Geographica Sinica,Meaning space structure of rural community in Han Chang'an City Historical Site
30,31,"Projections pertaining to future land use and land use change may have diverse backgrounds. Often, both local and scientific knowledge encompass important pieces of information for such a projection. Acknowledging the diversity across the two types of knowledge, we investigated their differences and similarities in a twofold case study, conducting a participatory mapping (PM) exercise with local wine growers, as well as a Multi Criteria Evaluation (MCE) with non-local experts from science, government and industry. Hence, we not only utilised two different knowledge elicitation methods, but also two types of ‘knowledges’. Within a region dominated by vineyards, and with expected land use change, we compared the two results quantitatively, in a participatory evaluation workshop, and with annotations gained through the participatory mapping exercise. Both methods have their merits, with the results from the participatory mapping perceived as being more plausible, and the MCE scoring higher in terms of spatial resolution. Whilst the participatory mapping yields more and better contextualised information, the results from the MCE can be better compared across study areas. © 2018 Elsevier B.V.","Department of Geography, University of Zurich, Switzerland
 Institute of Natural Resource Sciences, Zurich University of Applied Sciences, Switzerland","Rohrbach, B.",2018,,Landscape and Urban Planning,Comparing multi-criteria evaluation and participatory mapping to projecting land use
52,53,"This research identifies gender-based constraints and opportunities for the adoption of conservation agriculture production systems based on a case-study with smallholder farmers in two villages in Misamis Oriental, Northern Mindanao, Philippines. Using a livelihoods framework, we explore gendered dimensions of access to assets or resources, agricultural practices, and knowledge and perceptions in the context of food security and soil conservation. Our mixed methods approach includes focus group discussions, household interviews, participatory mapping, and GPS mapping. We found that men and women have different access to assets, gender roles, and soil perceptions that could have implications for whether farmers adopt conservation agriculture (CA) in the Philippines. This paper also discusses how development activities like CA could affect gender relations in a site-specific context and provides recommendations for increasing gender equity and the likelihood of adoption. © 2014, The Author(s).","Office of International Research, Education, and Development (OIRED), Virginia Tech, 526 Prices Fork Road, Blacksburg, VA 24060, United States
 ICRAF Research Site, 9004 Claveria Misamis Oriental, Mindanao, Philippines","Harman Parks, M.",2014,,Geojournal,Gender and conservation agriculture: constraints and opportunities in the Philippines
130,131,"Understanding the perception of environmental resources by the users is an important element in planning its sustainable use and management. Pastoralist communities manage their vast grazing territories and exploit resource variability through strategic mobility. However, the knowledge on which pastoralists’ resource management is based and their perception of the grazing areas has received limited attention. To improve this understanding and to document this knowledge in a way that can be communicated with ‘outsiders’, we adopted a participatory mapping approach using satellite imagery to explore how Borana pastoralists of southern Ethiopia differentiated and characterized their grazing areas. The Borana herders conceptualized their grazing areas as set of distinctive grazing units each having specific names and characteristics. The precise location and the borders of each grazing unit were identified on the satellite image. In naming of the grazing units, the main differentiating criteria were landforms, vegetation types, prevalence of wildlife species, and manmade features. Based on the dominant soil type, the grazing units were aggregated into seasonal grazing areas that were described using factors such as soil drainage properties, extent of woody cover, main grass species, and prevalence of ecto-parasites. Pastoralists ranking of the seasonal grazing areas according to their suitability for cattle grazing matched with vegetation assessment results on the abundance of desirable fodder varieties. Approaching grazing area differentiation from the pastoralists’ perspectives improves the understanding of rangeland characteristics that pastoralists considered important in their grazing management and visualization of their mental representation in digital maps eases communication of this knowledge. © 2015, Springer Science+Business Media New York.","German Institute for Tropical and Sub-tropical Agriculture (DITSL), University of Kassel, Kassel, Germany
 National Museums of Kenya, Nairobi, Kenya",,2015,Southern Ethiopia,Environmental Management,Shaping the Herders’ “Mental Maps”: Participatory Mapping with Pastoralists’ to Understand Their Grazing Area Differentiation and Characterization
71,72,"The value of Traditional Ecological Knowledge (TEK) for informing resource management has long been recognized; however, its incorporation into ecosystem services (ES) assessments remains uncommon. Often ""top-down"" approaches are utilized, depending on ""expert knowledge"", that are not relevant to local resource users. Here we propose an approach for combining participatory methods with remote sensing to provide a more holistic understanding of ES change. Participatory mapping in focus group discussions identified TEK regarding what ES were present, where, and their value to communities. TEK was then integrated with satellite imagery to extrapolate to the landscape-scale. We demonstrate our method for Nyangatom communities in the Lower Omo Valley, Ethiopia, showing for the first time the ES impacts of regional environmental change, including the Gibe III dam, for communities in the Omo River basin. Results confirmed the collapse of flood-retreat cultivation associated with the loss of the annual Omo flood. Communities reported declines in many other provisioning ES, and these results were supported by satellite mapping, which showed substantial reductions in land covers with high ES value (shrubland and wetland), leading to consequent ES declines. Our mixed-methods approach has potential to be applied in other regions to generate locally relevant information for evaluating ES dynamics and improving management of natural resources. © 2019 by the authors.","Department of Community Sustainability, Michigan State University, East Lansing, MI 48824, United States
 Department of Geography, King's College London, London, WC2B 4BG, United Kingdom","Hodbod, J.",2019,,Land,Integrating Participatory methods and remote sensing to enhance understanding of ecosystem service dynamics across scales
76,77,"This study assesses the physical suitability of the local landscape to enhance resettlement of future displaced communities as a result of mining. The study focuses on Ghana's emerging northwest gold province. Landsat images from 1986 to 2014 were used to map land-use/land-cover changes to predict future changes. Participatory mapping and focus group discussions were incorporated, to develop reference points, training sites and land use areas by villages. The results showed that expansion of occupied lands occurred from 25.4% in 1986 to 44.8% in 2014 with associated increasing population densities. Predicted land-use/land-cover changes indicated 52% expansion of occupied lands over a 15 year period. Much of that expansion was from vegetation and waterlogging. The results also showed large patterns of waterlogging in the area. The existing and predicted landscape character in the area indicated unsuitable environments for enhanced resettlement and livelihood to potentially displaced communities as a result of future mining operations. © 2016 Elsevier Ltd","Department of Spatial Sciences, Western Australian School of Mines (WASM), Faculty of Science and Engineering, Curtin University, GPO Box U 1987, Perth, Western Australia, Australia",,2016,Sustainable,Journal of Cleaner Production,Landscape assessment for sustainable resettlement of potentially displaced communities in Ghana's emerging northwest gold province
29,30,"Community participation is an increasing issue in risk and disaster management. This paper argues that interdisciplinary methods are necessary for mapping flooding areas. On the one hand, hazards can be quantified and mapped through deductive approaches and methods from the natural sciences. On the other hand, hazards can also be described from the population perspective at a local level using social sciences methods. The methods are successfully mixed with a geographical information system environment. In the first case, important inputs include topographic and slope data for geomorphological mapping. In the second case, timeline methodology can indicate temporally the most severe floods, and a participatory map construction gives the population the opportunity to point out the affected areas. These methods were applied in a case study in the lower Amazon River Region in the urban area of the Santarém municipality. High-resolution images and remote sensing were essential tools. Results show that nine neighborhoods have high and moderate susceptibility areas to riverine floods. Another nine neighborhoods are affected by flash floods. Flood mapping is the first step in risk mapping for the sustainability of regional planning. © 2015, Springer Science+Business Media Dordrecht.","Universidade Federal do Pará, Belém, Pará, Brazil
 Universidade Federal do Oeste do Pará, Santarém, Pará, Brazil
 Núcleo de Meio Ambiente, Universidade Federal do Pará, Belém, Pará, Brazil",,2015,Urban planning,Natural Hazards,Community participation in flood mapping in the Amazon through interdisciplinary methods
83,84,"The European Commission promotes management practices for nature conservation and human well-being, requiring the involvement of users in Natura 2000 sites. The research aim was to investigate the user's aesthetic perception in relation to the adoption of different management measures, within an Italian metropolitan Natura 2000 site. The research was performed in La Mandria Park in 2018 (1780 ha). The method was based on a participatory approach (interviews, questionnaires and participatory mapping), involving both park managers and users. Four main landscape elements were identified: lawns, woodlands, lines of trees and water bodies. Questionnaires (N = 232) were analyzed by descriptive and regression analysis. Mapped preferred places were analyzed using ecological indexes on 500 m land use buffers. A gendered perception of the aesthetic quality was detected, demonstrating that women are more strictly connected to nature than men. Users involved in park activities better perceived the aesthetic quality, while regular visitors had a worst perception. From participatory mapping (N = 137), it emerges that the eight preferred places are characterized by a mixed land use with different maintenance regimes and ecological values. Users' perceptions should be integrated in a co-management plan in metropolitan Natura 2000 sites, combining nature conservation with user enjoyment. © 2019 by the authors.","Department of Agricultural, Forest and Food Sciences, University of Turin, Grugliasco (TO), 10095, Italy
 Sant'Anna School of Advanced Studies-Institute of Management, Pisa (PI), 56127, Italy","Battisti, L.",2019,,Sustainability (Switzerland),"Management and perception of Metropolitan Natura 2000 Sites: A case study of La Mandria Park (Turin, Italy)"
48,49,"Conservation of protected areas is likely to be challenging in the long term if the dependence of local communities on natural resources is not measured appropriately. We investigated forest ecosystem services utilized by communities living around the Bach Ma National Park, Vietnam, and examined their spatial distributions through the integration of data from interviews, participatory mapping, and GIS analysis. The results suggest that provisioning services are crucial to the local livelihoods, and especially for an ethnic minority group. Many respondents confirmed the collection of specific types of forest foods, materials, and water resources mainly used for family consumption. We conducted spatial pattern analysis with land use, administrative units, terrain conditions, and accessibility, and clarified the characteristics of the spatial distribution of ecosystem service collection in relation to these factors, resource abundance, and forest governance. We propose the introduction of community-based tourism as one means to improve the livelihood opportunities of the ethnic minority groups to reduce their forest dependence. © 2019, The Author(s).","Laboratory of Regional Planning, Graduate School of Global Environmental Studies, Kyoto University, Research Building-5, Yoshida-Honmachi, Sakyo-ku, Kyoto, 606-8501, Japan","Hong, N. T.",2019,,Human Ecology,"Forest Ecosystem Services and Local Communities: Towards a Possible Solution to Reduce Forest Dependence in Bach Ma National Park, Vietnam"
138,139,"According to the U.S. National Environmental Policy Act of 1969 (NEPA), federal action to manipulate habitat for species conservation requires an environmental impact statement, which should integrate natural, physical, economic, and social sciences in planning and decision making. Nonetheless, most impact assessments focus disproportionately on physical or ecological impacts rather than integrating ecological and socioeconomic components. We developed a participatory social-ecological impact assessment (SEIA) that addresses the requirements of NEPA and integrates social and ecological concepts for impact assessments. We cooperated with the Bureau of Land Management in Idaho, USA on a project designed to restore habitat for the Greater Sage-Grouse (Centrocercus urophasianus). We employed questionnaires, workshop dialogue, and participatory mapping exercises with stakeholders to identify potential environmental changes and subsequent impacts expected to result from the removal of western juniper (Juniperus occidentalis). Via questionnaires and workshop dialogue, stakeholders identified 46 environmental changes and associated positive or negative impacts to people and communities in Owyhee County, Idaho. Results of the participatory mapping exercises showed that the spatial distribution of social, economic, and ecological values throughout Owyhee County are highly associated with the two main watersheds, wilderness areas, and the historic town of Silver City. Altogether, the SEIA process revealed that perceptions of project scale varied among participants, highlighting the need for specificity about spatial and temporal scales. Overall, the SEIA generated substantial information concerning potential impacts associated with habitat treatments for Greater Sage-Grouse. The SEIA is transferable to other land management and conservation contexts because it supports holistic understanding and framing of connections between humans and ecosystems. By applying this SEIA framework, land managers and affected people have an opportunity to fulfill NEPA requirements and develop more comprehensive management plans that better reflect the linkages of social-ecological systems.",,"Rachlow, J. L.",2016,,Ecology and Society,A social-ecological impact assessment for public lands management: application of a conceptual and methodological framework
169,170,"Six Rapid Rural Appraisal tools were tested by exploring four questions about gender and forests in two communities in the State of Washington. Tools selected include: Who Counts Matrix, Pebble Sorts (2), Participatory Mapping, Visioning, and an Interview Guide. The resulting data were supplemented by a questionnaire and ethnographic methods. The four questions asked whether men and women think differently about the forest, engage with the forest differently, go to different natural places, and have different visions of the future of the forest and their community. The results showed surprisingly comparable engagement with the forest by men and women and similarities in their visions of the future. In contrast, differences were found in the ways women and men think about the forest and the places they visit. The significant demographic shift toward an older population was also of interest. The use of Rapid Rural Appraisal tools in this setting was instructive, and further application is warranted, particularly when considering collaborative forest management. Copyright © 2019 by the Society for Applied Anthropology","Center for International Forestry Research in, Bogor, Indonesia
 Southeast Asia Program at Cornell University, Ithaca, NY, United States
 United States Forest Service, Pacific Northwest Research Station in, Seattle, WA, United States
 Research Forester with, United States Forest Service, Pacific Northwest Research Station in, Portland, OR, United States","Pierce Colfer, C. J.",2019,,Human Organization,Using rapid rural appraisal tools to explore gender and forests in the global north
32,33,"Measurement, Reporting, and Verification (MRV) systems are thought to be essential for effective carbon accounting and joint REDD+ carbon, conservation, and social development goals. Community participation in MRV (PMRV) has been shown to be both cost effective and accurate, as well as a method to potentially advance stakeholder empowerment and perceptions of legitimacy. Recognizing land tenure as a long-standing point of tension in REDD+ planning, we argue that its engagement also has a key role to play in developing a legitimate PMRV. Using household surveys, key informant interviews, and participatory mapping exercises, we present three 'lived' land tenure contexts in Indonesia to highlight their socially and ecologically situated natures and to consider the role of tenure pluralism in shaping PMRV. We then raise and interrogate three questions for incorporating lived land tenure contexts into a legitimate PMRV system: 1) Who holds the right to conduct PMRV activities?; 2) How are the impacts of PMRV differentially distributed within local communities?; and 3) What is the relationship between tenure security and motivation to participate in PMRV? We conclude with implementation lessons for REDD+ practitioners, including the benefits of collaborative practices, and point to critical areas for further research. © 2017 Felker et al.This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Center for International Forestry Research, Bogor, Indonesia
 School of Forestry and Environmental Studies, Yale University, New Haven, CT, United States
 Department of Anthropology, University of Georgia, Athens, GA, United States
 Fenner School of Environment and Society, Australian National University, Canberra, Australia","Felker, M. E.",2017,,Plos One,"Considering land tenure in REDD+ participatory measurement, reporting, and verification: A case study from Indonesia"
